lat,lon,leng,color
42.288179,-8.003734,es,blue
41.42594,2.211092,ca,aquamarine
41.510091,0.363567,ca,aquamarine
40.312071,-3.889005,es,blue
42.82373,-8.632309,es,blue
41.083523,1.162287,pt,black
36.737433,-2.543758,es,blue
38.160348,-0.656433,es,blue
37.344369,-6.119638,es,blue
39.278381,-0.432545,it,green
36.698108,-2.664889,es,blue
37.313613,-6.02843,es,blue
40.475009,-3.94958,en,yellow
36.712301,-4.239283,es,blue
41.317048,2.052477,es,blue
43.44168,-5.820977,es,blue
42.088493,-8.698412,es,blue
38.71623,0.102697,en,yellow
40.597435,-3.99758,es,blue
41.539494,1.793656,en,yellow
40.065346,-4.080567,pt,black
37.135903,-3.699796,es,blue
42.385192,-6.712964,es,blue
38.625448,-0.006632,es,blue
40.324045,-3.879085,es,blue
39.287795,2.983786,ca,aquamarine
41.415036,1.999829,es,blue
42.031845,-4.671948,es,blue
28.409769,-16.343595,en,yellow
41.939177,2.782826,ca,aquamarine
42.697827,-7.54317,es,blue
41.484267,2.307157,en,yellow
37.664255,-4.99701,es,blue
43.213654,-2.98601,en,yellow
39.049792,-2.107844,es,blue
37.94106,-0.761144,pt,black
41.102447,0.754474,ca,aquamarine
43.300475,-4.081947,es,blue
36.725945,-4.003136,en,yellow
39.412851,-0.425944,es,blue
41.160192,-1.812216,es,blue
36.722933,-2.71828,es,blue
36.635585,-4.587928,en,yellow
38.657614,-0.742257,ca,aquamarine
41.380883,2.172791,ca,aquamarine
42.307773,1.868991,ja,red
38.501123,-0.185969,es,blue
40.410488,-3.57964,es,blue
41.201848,1.669598,ca,aquamarine
37.533889,-1.225551,es,blue
41.555116,2.149776,ca,aquamarine
36.702279,-6.396672,es,blue
40.522788,0.438033,es,blue
28.1884,-14.157671,es,blue
42.397477,1.849841,ca,aquamarine
37.208494,-5.005758,es,blue
42.882574,-7.735264,es,blue
40.391967,-3.863271,es,blue
42.027978,-0.517874,es,blue
38.890853,1.383803,es,blue
43.381808,-3.459696,es,blue
41.442847,2.074488,ca,aquamarine
36.386766,-5.219826,es,blue
36.441775,-6.317663,es,blue
42.742838,-8.63284,es,blue
41.540873,2.230428,es,blue
43.434462,-3.889051,es,blue
38.003237,-3.762145,es,blue
41.451835,-1.174093,pt,black
39.582073,2.66733,es,blue
36.459841,-5.014957,it,green
41.347441,2.035787,ca,aquamarine
42.057055,2.466644,en,yellow
42.764559,-2.853491,es,blue
36.571241,-4.596977,es,blue
36.050219,-5.550794,es,blue
41.616702,2.330211,ca,aquamarine
41.506472,2.046492,pt,black
43.386058,-3.862031,es,blue
28.420066,-14.0903,pt,black
37.943287,-1.274545,es,blue
42.410137,-2.437896,es,blue
39.12507,2.563782,en,yellow
40.385434,-3.038634,es,blue
28.029081,-17.236242,ca,aquamarine
41.532654,1.872591,ca,aquamarine
39.860803,-5.674081,es,blue
40.582092,-3.811724,es,blue
37.715968,-1.385233,es,blue
41.461496,1.97866,es,blue
42.789017,-1.69462,ca,aquamarine
41.408955,2.206149,it,green
40.377576,-3.952603,es,blue
40.460715,-3.313641,es,blue
42.354129,-7.04303,es,blue
40.202103,-3.80752,es,blue
40.626656,0.532787,ca,aquamarine
42.415339,-0.701694,es,blue
42.284782,-3.794911,ca,aquamarine
39.180292,-7.248558,es,blue
41.21859,1.755959,en,yellow
28.197784,-16.685869,es,blue
41.519115,2.415516,en,yellow
37.394832,-6.145154,es,blue
40.300132,-4.006625,es,blue
40.660245,-3.556395,es,blue
43.304056,-8.38465,es,blue
36.842142,-6.53856,es,blue
39.441975,-0.550953,es,blue
38.152141,-0.670186,es,blue
39.417249,-0.403492,pt,black
38.726889,-6.656873,es,blue
39.885549,-3.637899,fr,magenta
39.172319,-0.467928,es,blue
38.454662,-7.272041,es,blue
40.616412,-4.030551,it,green
37.272856,-6.210707,es,blue
41.57985,2.185469,es,blue
36.525759,-6.323065,es,blue
42.458398,-8.833948,es,blue
38.383292,-0.434385,es,blue
39.235546,-0.506026,es,blue
40.707102,0.572445,ca,aquamarine
41.291503,-4.59698,es,blue
39.925626,-0.311644,es,blue
28.562714,-14.043788,en,yellow
38.430576,-0.874528,es,blue
37.1481,-6.06368,es,blue
40.572157,-3.331196,es,blue
38.840838,-4.091163,es,blue
40.082448,-5.267623,es,blue
37.377743,-4.087685,es,blue
39.641788,-0.51693,it,green
37.170618,-7.444984,en,yellow
41.601024,2.096388,ca,aquamarine
43.312705,-1.939228,es,blue
40.223747,-4.087774,en,yellow
38.379454,-0.59483,es,blue
40.441901,-3.945024,es,blue
38.922511,-5.81777,es,blue
43.291738,-3.31859,es,blue
39.690368,-4.037943,es,blue
36.16818,-5.439296,pt,black
42.293208,-8.948795,es,blue
43.286603,-2.946643,es,blue
43.246715,-8.27078,es,blue
43.217639,-2.086689,es,blue
39.545416,-0.520256,ca,aquamarine
37.010692,-4.327729,ca,aquamarine
36.613659,-5.539217,es,blue
38.672083,-2.181299,es,blue
40.83481,-4.336763,it,green
39.810555,-4.179635,es,blue
27.901587,-15.541028,es,blue
36.516968,-6.306111,es,blue
41.688129,1.769524,es,blue
39.443169,-0.50769,es,blue
36.680341,-2.90715,es,blue
39.516803,2.82836,es,blue
37.474713,-7.006908,es,blue
41.450907,-5.156843,pt,black
40.292663,-3.818156,fr,magenta
40.132099,-4.266841,en,yellow
38.848539,-3.55934,es,blue
42.510477,-1.347695,es,blue
40.629956,-4.173949,es,blue
39.871051,-6.303409,es,blue
42.95011,-4.402927,es,blue
28.438233,-16.409811,es,blue
40.349852,-0.264134,ca,aquamarine
43.23803,-3.048774,es,blue
41.582512,2.557713,ca,aquamarine
43.291202,-3.80918,es,blue
36.893254,-4.827523,es,blue
38.926356,-6.069166,ca,aquamarine
41.43933,1.946107,es,blue
39.364495,-0.450158,it,green
41.474273,2.26745,es,blue
42.829807,-1.652681,es,blue
39.604378,2.836646,en,yellow
41.276561,2.057436,it,green
41.340576,2.049579,ca,aquamarine
43.408025,-5.968925,es,blue
39.466954,-0.433458,pt,black
36.599508,-4.561139,es,blue
38.931535,-0.644645,es,blue
37.667587,-1.671621,es,blue
37.181866,-6.086299,es,blue
40.468677,-3.566056,es,blue
41.657633,2.252992,en,yellow
40.041204,-5.687669,it,green
43.152239,-2.090154,ja,red
42.320807,-1.969907,es,blue
39.546806,-0.521199,es,blue
40.868495,-5.780922,es,blue
42.688132,-4.431082,es,blue
38.494099,-0.774262,ca,aquamarine
38.001554,-1.273449,en,yellow
41.521232,2.232756,es,blue
41.650294,2.758153,es,blue
38.395697,-0.705859,ca,aquamarine
39.447544,-0.448934,es,blue
28.917743,-13.704493,pt,black
36.519213,-4.636376,es,blue
40.898972,-5.011357,es,blue
41.704912,2.867042,en,yellow
40.333932,-4.238491,es,blue
28.22555,-16.850939,ca,aquamarine
42.187601,-7.613349,es,blue
37.965058,-4.278457,es,blue
36.635375,-5.031156,es,blue
42.361795,1.899076,es,blue
36.154028,-5.370787,es,blue
36.719187,-3.790746,fr,magenta
41.243108,-4.403774,it,green
42.429049,-2.542232,es,blue
37.493072,-6.861951,it,green
41.910218,-2.500943,es,blue
39.085887,-0.584655,es,blue
36.486301,-4.776411,es,blue
41.528627,1.535573,ca,aquamarine
39.566023,-0.379299,es,blue
36.916092,-6.049769,es,blue
41.370712,2.022034,pt,black
39.057383,-2.3815,es,blue
42.40178,-8.760386,es,blue
28.490113,-16.370657,es,blue
38.567004,-0.173232,es,blue
38.032505,-0.773839,en,yellow
40.287603,-3.585036,es,blue
41.365949,2.074665,en,yellow
41.064747,0.532953,ca,aquamarine
42.23706,-2.030003,es,blue
43.321302,-5.829711,en,yellow
43.619227,-8.075856,es,blue
38.063374,-0.829075,es,blue
39.502083,-0.372342,es,blue
37.421007,-2.013439,es,blue
39.510434,-2.759548,es,blue
38.666776,-4.973051,es,blue
43.091823,-7.961651,es,blue
41.131575,1.385674,pt,black
39.364717,-0.450599,es,blue
42.677692,-0.313297,pt,black
41.959748,-1.838201,es,blue
36.757783,-3.932771,es,blue
39.703167,3.019569,ca,aquamarine
39.73486,2.661431,es,blue
